Max_Depth,Training_Accuracy,Testing_Accuracy
1.000000000000000000e+00,8.057142857142857162e-01,7.866666666666666252e-01
2.000000000000000000e+00,8.885714285714285676e-01,8.533333333333333881e-01
3.000000000000000000e+00,8.885714285714285676e-01,8.533333333333333881e-01
4.000000000000000000e+00,8.971428571428571308e-01,8.533333333333333881e-01
5.000000000000000000e+00,9.228571428571428203e-01,8.599999999999999867e-01
6.000000000000000000e+00,9.371428571428571663e-01,8.533333333333333881e-01
7.000000000000000000e+00,9.542857142857142927e-01,8.000000000000000444e-01
8.000000000000000000e+00,9.714285714285714191e-01,8.266666666666666607e-01
9.000000000000000000e+00,9.828571428571428736e-01,8.266666666666666607e-01
1.000000000000000000e+01,9.885714285714285454e-01,8.266666666666666607e-01
1.100000000000000000e+01,9.914285714285714368e-01,8.199999999999999512e-01
1.200000000000000000e+01,9.942857142857143282e-01,8.133333333333333526e-01
1.300000000000000000e+01,9.971428571428571086e-01,8.199999999999999512e-01
1.400000000000000000e+01,1.000000000000000000e+00,8.199999999999999512e-01
1.500000000000000000e+01,1.000000000000000000e+00,8.199999999999999512e-01
